,Produktname,Line,Charge,Uhrzeit,L,a,b,YI,Beginn,Ende,current_time,Stamp,Temperatures_Reg02_Sps_Istwert,Temperatures_Reg03_Sps_Istwert,Temperatures_Reg04_Sps_Istwert,Temperatures_Reg05_Sps_Istwert,Temperatures_Reg06_Sps_Istwert,Temperatures_Reg07_Sps_Istwert,Temperatures_Reg08_Sps_Istwert,Temperatures_Reg09_Sps_Istwert,Temperatures_Reg10_Sps_Istwert,Temperatures_Reg11_Sps_Istwert,Temperatures_Reg12_Sps_Istwert,Temperatures_Reg02_Pc_Sollwert,Temperatures_Reg03_Pc_Sollwert,Temperatures_Reg04_Pc_Sollwert,Temperatures_Reg05_Pc_Sollwert,Temperatures_Reg06_Pc_Sollwert,Temperatures_Reg07_Pc_Sollwert,Temperatures_Reg08_Pc_Sollwert,Temperatures_Reg09_Pc_Sollwert,Temperatures_Reg10_Pc_Sollwert,Temperatures_Reg11_Pc_Sollwert,Temperatures_Reg12_Pc_Sollwert,Feeder_DosSum_Sps_Durchsatz_Istwert,Feeder_DosSum_Pc_Durchsatz_Sollwert,Feeder_Dos01_Sps_Durchsatz_Istwert,Feeder_Dos02_Sps_Durchsatz_Istwert,Feeder_Dos03_Sps_Durchsatz_Istwert,Feeder_Dos04_Sps_Durchsatz_Istwert,Feeder_Dos05_Sps_Durchsatz_Istwert,Feeder_Dos06_Sps_Durchsatz_Istwert,Feeder_Dos07_Sps_Durchsatz_Istwert,Feeder_Dos08_Sps_Durchsatz_Istwert,Feeder_Dos01_Pc_Durchsatz_Sollwert,Feeder_Dos02_Pc_Durchsatz_Sollwert,Feeder_Dos03_Pc_Durchsatz_Sollwert,Feeder_Dos04_Pc_Durchsatz_Sollwert,Feeder_Dos05_Pc_Durchsatz_Sollwert,Feeder_Dos06_Pc_Durchsatz_Sollwert,Feeder_Dos07_Pc_Durchsatz_Sollwert,Feeder_Dos08_Pc_Durchsatz_Sollwert,Misc_Hat_Sps_Drehzahl_Istwert,Misc_Hat_Pc_Drehzahl_Sollwert,Misc_Hat_Sps_Drehmoment_Istwert,Temperatures_AE_Materialtemperatur01,Temperatures_AE_Materialtemperatur02,Misc_Mtd01_Sps_Istwert,Feeder_Dos01_Sps_MotorStellwert,Feeder_Dos02_Sps_MotorStellwert,Feeder_Dos03_Sps_MotorStellwert,Feeder_Dos04_Sps_MotorStellwert,Feeder_Dos05_Sps_MotorStellwert,Feeder_Dos06_Sps_MotorStellwert,Feeder_Dos07_Sps_MotorStellwert,Feeder_Dos08_Sps_MotorStellwert,Feeder_Dos01_Sps_Dosierfaktor,Feeder_Dos02_Sps_Dosierfaktor,Feeder_Dos03_Sps_Dosierfaktor,Feeder_Dos04_Sps_Dosierfaktor,Feeder_Dos05_Sps_Dosierfaktor,Feeder_Dos06_Sps_Dosierfaktor,Feeder_Dos07_Sps_Dosierfaktor,Feeder_Dos08_Sps_Dosierfaktor,Feeder_Dos01_Sps_MotorDrehzahl,Feeder_Dos02_Sps_MotorDrehzahl,Feeder_Dos03_Sps_MotorDrehzahl,Feeder_Dos04_Sps_MotorDrehzahl,Feeder_Dos05_Sps_MotorDrehzahl,Feeder_Dos06_Sps_MotorDrehzahl,Feeder_Dos07_Sps_MotorDrehzahl,Feeder_Dos08_Sps_MotorDrehzahl,Feeder_Dos01_Sps_Nettogewicht,Feeder_Dos02_Sps_Nettogewicht,Feeder_Dos03_Sps_Nettogewicht,Feeder_Dos04_Sps_Nettogewicht,Feeder_Dos05_Sps_Nettogewicht,Feeder_Dos06_Sps_Nettogewicht,Feeder_Dos07_Sps_Nettogewicht,Feeder_Dos08_Sps_Nettogewicht
0,BP 110/02 (717221),ZSK 70.4,22010661,8:30,72.93,5.15,24.9,55.91,05.09.2022 08:00:00,06.09.2022 01:45:00,2022-09-05 08:30:00,2022-09-05 08:30:48,187.5,184.7,169.3,145.0,145.5,145.4,164.8,155.2,100.1,164.7,148.1,185.0,185.0,170.0,145.0,145.0,145.0,165.0,155.0,100.0,150.0,140.0,701.503112792969,700.000061035156,422.488952636719,0.0,270.600524902344,5.5953426361084,0.0,2.81829357147217,0.0,0.0,420.699981689453,0.0,270.900024414063,5.60000038146973,0.0,2.80000019073486,0.0,0.0,340.0,340.0,66.6,29.4,211.8,5.2,55.7599945068359,0.0,43.0599975585938,6.01999950408936,0.0,22.7000007629395,0.0,0.0,761.252807617188,586.84375,634.663940429688,92.4093627929688,34.3746032714844,12.5659255981445,250.0,96.193359375,1684.0,0.0,1292.0,180.0,0.0,684.0,0.0,0.0,48.0272445678711,47.8141860961914,50.1173095703125,18.5968246459961,16.6752433776855,8.42888641357422,0.0,0.0
1,BP 110/02 (717221),ZSK 70.5,22010661,12:30,70.86,5.79,24.99,57.85,05.09.2022 11:45:00,06.09.2022 01:45:00,2022-09-05 12:30:00,2022-09-05 12:30:53,185.6,184.5,170.2,144.6,144.8,145.2,187.6,166.2,100.0,175.0,160.5,185.0,185.0,170.0,145.0,145.0,145.0,165.0,157.0,100.0,150.0,160.0,699.980346679688,700.000061035156,420.582397460938,0.0,270.899963378906,5.60000038146973,0.0,2.77734565734863,0.0,0.0,420.700012207031,0.0,270.899993896484,5.60000038146973,0.0,2.80000019073486,0.0,0.0,337.4,340.0,69.1,200.3,175.5,3.8,57.4799957275391,0.0,48.6399993896484,7.55999946594238,0.0,10.439998626709,0.0,0.0,732.378051757813,430.10205078125,566.560668945313,74.4444580078125,28.028263092041,27.2560653686523,94.3487854003906,65.5418090820313,1722.0,0.0,1457.0,465.0,0.0,311.0,0.0,0.0,45.1051254272461,1.60665130615234,57.1001892089844,15.6931610107422,43.8439483642578,6.85650062561035,0.0,0.0
2,BP 110/02 (717221),ZSK 70.4,22010661,18:00,75.1,4.66,22.53,50.29,05.09.2022 08:00:00,06.09.2022 01:45:00,2022-09-05 18:00:00,2022-09-05 18:00:49,184.9,184.2,170.3,144.9,145.9,145.1,165.1,156.2,100.0,169.5,153.8,185.0,185.0,170.0,145.0,145.0,145.0,165.0,155.0,100.0,150.0,140.0,800.256225585938,800.000061035156,480.820251464844,0.0,309.814697265625,6.39908313751221,0.0,3.22216415405273,0.0,0.0,480.799987792969,0.0,309.600006103516,6.40000057220459,0.0,3.20000028610229,0.0,0.0,358.2,360.0,79.0,40.8,217.3,5.0,66.3799896240234,0.0,50.4599990844727,6.67999935150147,0.0,26.6599998474121,0.0,0.0,713.040771484375,586.84375,610.492553710938,93.7866058349609,34.3746032714844,11.9324722290039,250.0,96.193359375,1994.0,0.0,1510.0,200.0,0.0,795.0,0.0,0.0,52.8237533569336,47.7651901245117,45.8520355224609,21.6562194824219,16.7878875732422,9.22792625427246,0.0,0.0
3,BP 110/02 (717221),ZSK 70.5,22010661,18:00,72.84,5.53,24.64,55.9,05.09.2022 11:45:00,06.09.2022 01:45:00,2022-09-05 18:00:00,2022-09-05 18:00:54,185.2,185.6,169.8,145.4,144.9,145.0,189.3,163.7,100.1,177.0,160.0,185.0,185.0,170.0,145.0,145.0,145.0,165.0,157.0,100.0,150.0,160.0,799.338256835938,800.000061035156,480.860229492188,0.0,308.866821289062,6.4083194732666,0.0,3.20289611816406,0.0,0.0,480.799987792969,0.0,309.600006103516,6.40000009536743,0.0,3.20000004768372,0.0,0.0,358.6,360.0,76.1,201.3,176.9,3.9,66.3999938964844,0.0,55.7399978637695,8.39999961853027,0.0,12.1599998474121,0.0,0.0,724.627685546875,430.10205078125,556.876831054688,75.7051696777344,28.028263092041,26.5875701904297,94.3487854003906,65.5418090820313,1992.0,0.0,1670.0,520.0,0.0,365.0,0.0,0.0,47.2299118041992,2.06760025024414,45.4994506835938,22.1847534179687,43.8598556518555,8.97105216979981,0.0,0.0
4,BP 110/02 (717221),ZSK 70.4,22010662,6:00,72.73,5.42,25.52,57.34,06.09.2022 01:45:00,06.09.2022 16:35:00,2022-09-06 06:00:00,2022-09-06 06:00:50,184.4,184.8,170.1,145.0,145.0,145.3,165.0,154.8,100.0,166.7,150.6,185.0,185.0,170.0,145.0,145.0,145.0,165.0,155.0,100.0,150.0,140.0,799.95166015625,800.000061035156,480.742431640625,0.0,309.599975585937,6.40940666198731,0.0,3.19982290267944,0.0,0.0,480.799987792969,0.0,309.600006103516,6.40000057220459,0.0,3.20000028610229,0.0,0.0,359.5,360.0,70.8,32.0,215.2,5.2,66.3999938964844,0.0,51.4199981689453,6.81999969482422,0.0,26.7399978637695,0.0,0.0,723.511108398438,586.84375,601.740844726563,93.8147888183594,34.3746032714844,11.5816097259521,250.0,96.193359375,1990.0,0.0,1542.0,203.0,0.0,802.0,0.0,0.0,48.7977447509766,47.8448486328125,52.7084350585938,20.9206314086914,16.3391265869141,9.20535850524902,0.0,0.0
5,BP 110/02 (717221),ZSK 70.5,22010662,6:00,73.88,4.73,24.06,53.59,06.09.2022 01:45:00,06.09.2022 16:35:00,2022-09-06 06:00:00,2022-09-06 06:00:55,184.9,185.0,169.3,144.2,145.0,145.4,189.1,162.6,100.1,176.2,160.1,185.0,185.0,170.0,145.0,145.0,145.0,165.0,157.0,100.0,150.0,160.0,800.147705078125,800.000061035156,480.799987792969,0.0,309.749084472656,6.39636039733887,0.0,3.20225858688354,0.0,0.0,480.799987792969,0.0,309.600006103516,6.40000009536743,0.0,3.20000004768372,0.0,0.0,358.1,360.0,74.7,201.1,176.3,3.6,65.5199890136719,0.0,54.0400009155273,8.45999908447266,0.0,11.4599990844727,0.0,0.0,733.41064453125,430.10205078125,571.09619140625,75.2340393066406,28.028263092041,27.2001190185547,94.3487854003906,65.5418090820313,1964.0,0.0,1621.0,516.0,0.0,343.0,0.0,0.0,51.7639999389649,1.57049942016602,44.8329162597656,19.529296875,43.5906448364258,8.89312553405762,0.0,0.0
6,BP 110/02 (717221),ZSK 70.4,22010663,6:00,76.01,3.68,23.11,49.92,06.09.2022 16:35:00,07.09.2022 07:15:00,2022-09-07 06:00:00,2022-09-07 06:00:56,185.5,184.2,169.9,144.9,144.9,144.7,164.6,155.0,100.0,165.2,149.3,185.0,185.0,170.0,145.0,145.0,145.0,165.0,155.0,100.0,150.0,142.0,800.793884277344,800.000061035156,481.346313476563,0.0,309.861206054688,6.40078353881836,0.0,3.19252252578735,0.0,0.0,480.799987792969,0.0,309.600006103516,6.40000057220459,0.0,3.20000028610229,0.0,0.0,359.3,360.0,72.3,33.9,213.4,5.2,65.5599975585938,0.0,54.3399963378906,6.89999961853027,0.0,31.0,0.0,0.0,702.523681640625,586.84375,567.579711914063,93.2962951660156,34.3746032714844,10.4406852722168,250.0,96.193359375,1967.0,0.0,1630.0,207.0,0.0,926.0,0.0,0.0,41.7421112060547,47.8670959472656,49.9616546630859,19.9287719726562,15.8513565063477,8.87873268127441,0.0,0.0
7,BP 110/02 (717221),ZSK 70.5,22010663,6:00,75.11,4.27,23.03,50.77,06.09.2022 16:35:00,07.09.2022 07:15:00,2022-09-07 06:00:00,2022-09-07 06:00:55,184.5,183.4,169.5,144.9,144.9,145.4,188.7,162.8,100.1,175.7,160.0,185.0,185.0,170.0,145.0,145.0,145.0,165.0,157.0,100.0,150.0,160.0,800.266479492188,800.000061035156,480.784545898438,0.0,309.872314453125,6.40264511108398,0.0,3.20666170120239,0.0,0.0,480.799987792969,0.0,309.600006103516,6.40000009536743,0.0,3.20000004768372,0.0,0.0,358.8,360.0,76.0,199.5,175.8,3.6,64.8999938964844,0.0,58.1199951171875,8.34000015258789,0.0,12.3400001525879,0.0,0.0,739.946533203125,430.10205078125,532.062377929688,75.7532043457031,28.028263092041,26.3132972717285,94.3487854003906,65.5418090820313,1946.0,0.0,1753.0,517.0,0.0,370.0,0.0,0.0,39.8697357177734,1.56629943847656,55.6399383544922,18.9703903198242,43.2138595581055,8.48797607421875,0.0,0.0
8,BP 110/02 (717221),ZSK 70.4,22010665,6:00,75.7,3.81,23.27,50.46,07.09.2022 22:45:00,08.09.2022 13:25:00,2022-09-08 06:00:00,2022-09-08 06:00:46,185.8,185.5,169.4,145.1,145.1,145.5,165.1,154.3,99.9,166.2,150.1,185.0,185.0,170.0,145.0,145.0,145.0,165.0,155.0,100.0,150.0,145.0,799.843017578125,800.000061035156,480.320678710938,0.0,309.916015625,6.39477348327637,0.0,3.21155214309692,0.0,0.0,480.799987792969,0.0,309.600006103516,6.40000057220459,0.0,3.20000028610229,0.0,0.0,359.7,360.0,71.6,31.0,213.6,5.1,71.7799987792969,0.0,54.2799987792969,6.63999938964844,0.0,31.5999984741211,0.0,0.0,671.17236328125,586.84375,571.37353515625,93.900390625,34.3746032714844,10.0665645599365,250.0,96.193359375,2143.0,0.0,1637.0,200.0,0.0,949.0,0.0,0.0,42.0496444702148,47.8582305908203,56.2761840820312,19.8130722045898,15.4234619140625,9.55838966369629,0.0,0.0
9,BP 110/02 (717221),ZSK 70.5,22010665,6:00,74.76,4.42,23.23,51.43,07.09.2022 22:45:00,08.09.2022 13:25:00,2022-09-08 06:00:00,2022-09-08 06:00:51,185.3,184.9,169.5,144.5,145.1,144.6,189.2,162.4,99.9,175.4,160.0,185.0,185.0,170.0,145.0,145.0,145.0,165.0,157.0,100.0,150.0,140.0,800.336486816406,800.000061035156,480.799987792969,0.0,309.94287109375,6.39742946624756,0.0,3.19738626480103,0.0,0.0,480.799987792969,0.0,309.600006103516,6.40000009536743,0.0,3.20000004768372,0.0,0.0,358.6,360.0,71.5,199.8,175.5,3.8,66.1999969482422,0.0,57.379997253418,8.42000007629395,0.0,12.2799987792969,0.0,0.0,731.276000976563,430.10205078125,537.666015625,75.3174896240234,28.028263092041,26.1419067382812,94.3487854003906,65.5418090820313,1985.0,0.0,1720.0,517.0,0.0,368.0,0.0,0.0,52.9660034179688,1.42259979248047,46.7101287841797,20.9640121459961,42.882682800293,9.46012687683106,0.0,0.0
10,BP 110/02 (717221),ZSK 70.4,22010664,18:00,75.3,4.09,22.29,49.23,07.09.2022 07:15:00,07.09.2022 22:45:00,2022-09-07 18:00:00,2022-09-07 18:00:51,185.0,184.5,169.9,145.0,145.1,145.2,165.2,154.8,99.9,168.2,152.0,185.0,185.0,170.0,145.0,145.0,145.0,165.0,155.0,100.0,150.0,145.0,800.400817871094,800.000061035156,480.977722167969,0.0,309.73583984375,6.38972187042236,0.0,3.19599485397339,0.0,0.0,480.799987792969,0.0,309.600006103516,6.40000057220459,0.0,3.20000028610229,0.0,0.0,358.4,360.0,76.7,37.1,214.9,5.0,75.3000030517578,0.0,54.4399948120117,6.61999988555908,0.0,31.1399993896484,0.0,0.0,633.113037109375,586.84375,566.370849609375,94.9852752685547,34.3746032714844,10.2898902893066,250.0,96.193359375,2259.0,0.0,1643.0,199.0,0.0,932.0,0.0,0.0,40.3627319335938,47.8391418457031,57.8362274169922,18.9872665405273,15.7629051208496,8.57504844665527,0.0,0.0
11,BP 110/02 (717221),ZSK 70.5,22010664,18:00,75.41,4.11,22.89,50.23,07.09.2022 07:15:00,07.09.2022 22:45:00,2022-09-07 18:00:00,2022-09-07 18:00:52,185.0,184.4,169.3,145.2,145.0,145.5,189.7,162.3,99.9,176.0,160.0,185.0,185.0,170.0,145.0,145.0,145.0,165.0,157.0,100.0,150.0,160.0,800.213012695312,800.000061035156,480.798522949219,0.0,309.795532226562,6.40358257293701,0.0,3.21542167663574,0.0,0.0,480.799987792969,0.0,309.600006103516,6.40000009536743,0.0,3.20000004768372,0.0,0.0,358.5,360.0,74.4,199.8,176.1,3.7,65.3999938964844,0.0,58.1599960327148,8.53999900817871,0.0,12.1999988555908,0.0,0.0,733.63427734375,430.10205078125,531.928344726563,75.1671600341797,28.028263092041,26.1392707824707,94.3487854003906,65.5418090820313,1961.0,0.0,1744.0,531.0,0.0,367.0,0.0,0.0,39.2002563476562,1.90439987182617,44.2245788574219,19.6017837524414,43.1570510864258,8.23567581176758,0.0,0.0
12,BP 110/02 (717221),ZSK 70.4,22010667,6:00,76.05,3.78,22.63,49.16,09.09.2022 04:15:00,09.09.2022 19:10:00,2022-09-09 06:00:00,2022-09-09 06:00:50,184.8,185.6,169.7,145.0,144.9,145.3,164.9,155.5,100.0,166.0,149.5,185.0,185.0,170.0,145.0,145.0,145.0,165.0,155.0,100.0,150.0,145.0,800.2998046875,800.000061035156,480.799987792969,0.0,309.776123046875,6.40000057220459,0.0,3.1950855255127,0.0,0.0,480.799987792969,0.0,309.600006103516,6.40000057220459,0.0,3.20000028610229,0.0,0.0,360.1,360.0,72.6,28.6,214.7,5.3,71.9199981689453,0.0,48.6999969482422,6.57999992370606,0.0,31.4799995422363,0.0,0.0,677.661987304688,586.84375,631.468017578125,93.8986511230469,34.3746032714844,10.0500774383545,250.0,96.193359375,2157.0,0.0,1461.0,200.0,0.0,932.0,0.0,0.0,53.6180953979492,47.9532165527344,55.2255249023438,19.2089385986328,14.9084739685059,9.48151016235352,0.0,0.0
13,BP 110/02 (717221),ZSK 70.5,22010667,6:00,75.67,4.02,22.76,49.8,09.09.2022 04:15:00,09.09.2022 19:10:00,2022-09-09 06:00:00,2022-09-09 06:00:50,185.1,184.5,169.5,144.2,144.9,145.7,189.5,161.4,100.0,173.5,155.4,185.0,185.0,170.0,145.0,145.0,145.0,165.0,157.0,100.0,150.0,140.0,799.345947265625,800.000061035156,480.720275878906,0.0,309.475280761719,6.40026760101318,0.0,3.17382097244263,0.0,0.0,480.799987792969,0.0,309.600006103516,6.40000009536743,0.0,3.20000004768372,0.0,0.0,358.5,360.0,75.4,201.9,173.2,3.7,65.5,0.0,53.5599975585938,8.42000007629395,0.0,12.9799995422363,0.0,0.0,734.207763671875,430.10205078125,579.460815429688,75.3415222167969,28.028263092041,25.4143295288086,94.3487854003906,65.5418090820313,1963.0,0.0,1610.0,522.0,0.0,384.0,0.0,0.0,45.6820373535156,1.24380111694336,48.4727478027344,20.9291687011719,42.4734802246094,9.1608772277832,0.0,0.0
14,BP 110/02 (717221),ZSK 70.4,22010666,18:00,75.29,4.28,24.17,52.63,08.09.2022 13:25:00,09.09.2022 04:15:00,2022-09-08 18:00:00,2022-09-08 18:00:47,185.0,184.7,170.2,144.7,145.0,145.2,165.3,155.0,99.9,168.9,151.9,185.0,185.0,170.0,145.0,145.0,145.0,165.0,155.0,100.0,150.0,145.0,799.635009765625,800.000061035156,480.63232421875,0.0,309.322204589844,6.39013576507568,0.0,3.20283794403076,0.0,0.0,480.799987792969,0.0,309.600006103516,6.40000057220459,0.0,3.20000028610229,0.0,0.0,359.3,360.0,72.8,32.9,215.2,5.0,72.3199920654297,0.0,49.7200012207031,6.76000022888184,0.0,32.5,0.0,0.0,669.348266601563,586.84375,616.464599609375,93.8209686279297,34.3746032714844,9.7818546295166,250.0,96.193359375,2169.0,0.0,1488.0,202.0,0.0,969.0,0.0,0.0,42.4528503417969,47.867546081543,49.8198699951172,12.0817070007324,15.2820892333984,5.98994255065918,0.0,0.0
15,BP 110/02 (717221),ZSK 70.5,22010666,18:00,74.7,4.56,23.44,51.94,08.09.2022 13:25:00,09.09.2022 04:15:00,2022-09-08 18:00:00,2022-09-08 18:00:54,185.3,184.6,170.5,145.2,144.9,144.7,190.7,162.2,99.9,174.5,156.5,185.0,185.0,170.0,145.0,145.0,145.0,165.0,157.0,100.0,150.0,140.0,799.891540527344,800.000061035156,480.679504394531,0.0,309.599975585937,6.40709209442139,0.0,3.20496034622192,0.0,0.0,480.799987792969,0.0,309.600006103516,6.40000009536743,0.0,3.20000004768372,0.0,0.0,358.1,360.0,76.3,201.1,174.1,4.0,65.5199890136719,0.0,54.3399963378906,8.5,0.0,12.5,0.0,0.0,733.576293945313,430.10205078125,567.776245117188,75.5118255615234,28.028263092041,25.5285491943359,94.3487854003906,65.5418090820313,1964.0,0.0,1629.0,527.0,0.0,378.0,0.0,0.0,42.8064117431641,1.7281494140625,61.6210327148437,14.8064498901367,42.7801208496094,5.83170127868652,0.0,0.0
16,BP 110/02 (717221),ZSK 70.5,22010667,18:00,75.17,4.21,22.39,49.57,09.09.2022 04:15:00,09.09.2022 19:10:00,2022-09-09 18:00:00,2022-09-09 18:01:00,185.1,184.6,170.2,145.7,145.0,145.6,193.1,163.9,99.9,174.5,157.0,185.0,185.0,170.0,145.0,145.0,145.0,165.0,157.0,100.0,150.0,140.0,799.570129394531,800.000061035156,480.902221679688,0.0,309.07470703125,6.3989782333374,0.0,3.19424295425415,0.0,0.0,480.799987792969,0.0,309.600006103516,6.40000009536743,0.0,3.20000004768372,0.0,0.0,357.9,360.0,75.5,201.7,173.8,3.6,65.4799957275391,0.0,53.4399948120117,8.53999900817871,0.0,12.4599990844727,0.0,0.0,733.798583984375,430.10205078125,585.609741210938,75.0542755126953,28.028263092041,25.73486328125,94.3487854003906,65.5418090820313,1964.0,0.0,1596.0,532.0,0.0,374.0,0.0,0.0,44.9677124023438,1.39245223999023,48.2042846679687,20.9462127685547,42.3327407836914,9.84142684936523,0.0,0.0
17,BP 110/02 (717221),ZSK 70.4,22010667,18:00,76.63,3.43,21.09,45.92,09.09.2022 04:15:00,09.09.2022 19:10:00,2022-09-09 18:00:00,2022-09-09 18:00:50,184.0,184.6,170.5,144.9,144.9,145.5,165.4,155.7,100.1,168.6,151.9,185.0,185.0,170.0,145.0,145.0,145.0,165.0,155.0,100.0,150.0,145.0,800.013977050781,800.000061035156,480.162536621094,0.0,309.761901855469,6.39760684967041,0.0,3.22017049789429,0.0,0.0,480.799987792969,0.0,309.600006103516,6.40000057220459,0.0,3.20000028610229,0.0,0.0,359.7,360.0,72.3,32.4,216.4,5.1,68.3799896240234,0.0,48.5199966430664,6.80000019073486,0.0,31.7399978637695,0.0,0.0,695.09716796875,586.84375,639.456420898437,93.5821838378906,34.3746032714844,9.98552322387695,250.0,96.193359375,2042.0,0.0,1453.0,204.0,0.0,942.0,0.0,0.0,49.9281387329101,47.8870849609375,48.5867614746094,18.5363693237305,14.8393745422363,9.74983787536621,0.0,0.0
