Typ;Nr;Artikelnr;Artikelbez 1;Plangrp;Sollmenge;Istmenge;Kst Id;Beginn;Ende;
20;18546;700029;B80400;;88000;88000;ABSACKANLAGE;28.03.2022 00:00:00;28.03.2022 00:00:00;
20;18546;700029;B80400;;88000;-88000;ABSACKANLAGE;28.03.2022 00:00:00;28.03.2022 00:00:00;
20;18546;700029;B80400;;88000;17600;ABSACKANLAGE;28.03.2022 00:00:00;28.03.2022 00:00:00;
20;18546;700029;B80400;;88000;-17600;ABSACKANLAGE;28.03.2022 00:00:00;28.03.2022 00:00:00;
20;18546;700029;B80400;;88000;17600;ABSACKANLAGE;28.03.2022 00:00:00;28.03.2022 00:00:00;
